,season,team,line,over_odds,under_odds
455,2017,CLE,4.5,-180,150
456,2017,DAL,9.5,120,-140
457,2017,DEN,8,100,-120
458,2017,DET,7.5,120,-140
459,2017,GB,10.5,120,-140
460,2017,HOU,8.5,100,-120
461,2017,IND,8,130,-150
462,2017,JAX,6.5,-125,105
463,2017,KC,9,-120,100
464,2017,LAC,7.5,-160,140
465,2017,LA,6,140,-160
466,2017,MIA,7,-130,110
467,2017,MIN,8.5,-130,110
468,2017,NE,12.5,100,-120
469,2017,NO,8,100,-120
470,2017,NYG,9,-130,110
471,2017,NYJ,3.5,125,-145
472,2017,OAK,9.5,100,-120
473,2017,PHI,8.5,-120,100
474,2017,PIT,10.5,-150,130
475,2017,SEA,10.5,-130,110
476,2017,SF,5,100,-120
477,2017,TB,8.5,-120,100
478,2017,TEN,9,-110,-110
479,2017,WAS,7.5,120,-140
480,2018,ARI,6,-130,110
481,2018,ATL,9.5,-120,100
482,2018,BAL,8.5,-120,100
483,2018,BUF,5.5,120,-140
484,2018,CAR,8.5,110,-130
485,2018,CHI,7.5,115,-135
486,2018,CIN,7,-135,115
487,2018,CLE,6,100,-120
488,2018,DAL,8.5,120,-140
489,2018,DEN,7,-180,150
490,2018,DET,7.5,-110,-110
491,2018,GB,10,-120,100
492,2018,HOU,8.5,-140,120
493,2018,IND,7.5,110,-130
494,2018,JAX,9,-130,110
495,2018,KC,8.5,115,-135
496,2018,LAC,9.5,-130,110
497,2018,LA,10,-130,110
498,2018,MIA,6.5,-140,120
499,2018,MIN,10,-140,120
500,2018,NE,11,-120,100
501,2018,NO,9.5,-140,120
502,2018,NYG,7,-140,120
503,2018,NYJ,6,110,-130
504,2018,OAK,7.5,120,-140
505,2018,PHI,10.5,130,-150
506,2018,PIT,10.5,125,-145
507,2018,SF,8.5,130,-150
508,2018,SEA,7.5,100,-120
509,2018,TB,6.5,130,-150
510,2018,TEN,8,-110,-110
511,2018,WAS,7,-130,110
512,2019,ARI,5,-120,100
513,2019,ATL,8.5,-140,120
514,2019,BAL,8.5,110,-130
515,2019,BUF,7,-140,120
516,2019,CAR,8,-130,110
517,2019,CHI,9,-140,120
518,2019,CIN,6,130,-150
519,2019,CLE,9,100,-120
520,2019,DAL,9,-110,-110
521,2019,DEN,7,-130,110
522,2019,DET,6.5,-150,130
523,2019,GB,9,-140,120
524,2019,HOU,8.5,-115,-105
525,2019,IND,7.5,-110,-110
526,2019,JAX,8,-110,-110
527,2019,KC,10.5,-130,110
528,2019,LAC,10,120,-140
529,2019,LA,10.5,125,-145
530,2019,MIA,4.5,100,-120
531,2019,MIN,9,-125,105
532,2019,NE,11.5,-110,-110
533,2019,NO,10.5,130,-150
534,2019,NYG,6,105,-125
535,2019,NYJ,7.5,-110,-110
536,2019,OAK,6,145,-170
537,2019,PHI,10,-150,130
538,2019,PIT,9.5,-110,-110
539,2019,SF,8,-140,120
540,2019,SEA,9,100,-120
541,2019,TB,6.5,-110,-110
542,2019,TEN,8,120,-140
543,2019,WAS,6,130,-150
544,2020,ARI,7.5,-120,-110
545,2020,ATL,7.5,-130,100
546,2020,BAL,11.5,-115,-115
547,2020,BUF,9,-140,110
548,2020,CAR,5.5,-110,-120
549,2020,CHI,8.5,130,-160
550,2020,CIN,5.5,-120,-110
551,2020,CLE,8.5,-135,105
552,2020,DAL,9.5,-115,125
553,2020,DEN,7.5,-135,105
554,2020,DET,6.5,-130,100
555,2020,GB,9,-125,-105
556,2020,HOU,7.5,-110,-120
557,2020,IND,9,-125,-105
558,2020,JAX,4.5,-120,-110
559,2020,KC,11.5,-145,115
560,2020,LA,8.5,-105,-125
561,2020,LAC,7.5,-130,100
562,2020,LV,7.5,-105,-125
563,2020,MIA,6.5,-110,-120
564,2020,MIN,9,-105,-125
565,2020,NE,9,100,-130
566,2020,NO,10.5,-115,-115
567,2020,NYG,6.5,100,-130
568,2020,NYJ,7,-140,110
569,2020,PHI,9.5,-125,-105
570,2020,PIT,9.5,110,-140
571,2020,SEA,9,-140,110
572,2020,SF,10.5,-125,-105
573,2020,TB,9.5,-140,110
574,2020,TEN,8.5,-125,-105
575,2020,WAS,5.5,100,-130
576,2021,KC,12,-130,110
577,2021,TB,11.5,100,-120
578,2021,GB,11,105,-125
579,2021,BAL,11,-105,-115
580,2021,LAR,10.5,105,-125
581,2021,BUF,10.5,-130,110
582,2021,SEA,10,105,-125
583,2021,SF,10,-140,120
584,2021,IND,10,-110,-110
585,2021,CLE,10,-115,-105
586,2021,TEN,9.5,110,-130
587,2021,NO,9.5,120,-140
588,2021,DAL,9.5,110,-130
589,2021,PIT,9,105,-125
590,2021,NE,9,-125,105
591,2021,MIA,9,-135,115
592,2021,LAC,9,105,-125
593,2021,MIN,8.5,-115,-105
594,2021,WAS,8,-105,-115
595,2021,OAK,8,115,-135
596,2021,ARI,8,-140,120
597,2021,DEN,7.5,105,-125
598,2021,CHI,7.5,105,-125
599,2021,CAR,7.5,110,-130
600,2021,PHI,7,105,-125
601,2021,NYG,7,-110,-110
602,2021,ATL,7,-115,-105
603,2021,CIN,6.5,-105,-115
604,2021,NYJ,6,-130,110
605,2021,JAX,6,-120,110
606,2021,HOU,5,110,-130
607,2021,DET,5,-130,110
608,2022,BUF,11.5,-140,120
609,2022,TB,11.5,110,-130
610,2022,GB,11,-110,-110
611,2022,KC,10.5,-115,-105
612,2022,LAR,10.5,-110,-110
613,2022,DAL,10.5,125,-145
614,2022,SF,10,-110,-110
615,2022,DEN,10,-110,-110
616,2022,CIN,9.5,-135,115
617,2022,LAC,10,-130,110
618,2022,IND,9.5,-145,125
619,2022,PHI,9.5,-140,120
620,2022,BAL,9.5,-145,125
621,2022,CLE,9.5,110,-130
622,2022,MIN,9,-135,115
623,2022,TEN,9.5,120,-140
624,2022,MIA,8.5,-135,115
625,2022,NE,8.5,-130,110
626,2022,ARI,9,120,-140
627,2022,OAK,8.5,-130,110
628,2022,NO,8,-160,140
629,2022,WAS,7.5,-115,-105
630,2022,PIT,7.5,-105,-135
631,2022,NYG,7,105,-125
632,2022,CHI,6.5,130,-150
633,2022,DET,6,-160,140
634,2022,JAX,6.5,115,-135
635,2022,CAR,6.5,100,-120
636,2022,SEA,6,110,-130
637,2022,NYJ,5.5,-175,150
638,2022,ATL,5,125,-145
639,2022,HOU,4.5,100,-120
608,2023,CIN,11.5,105,-125
609,2023,KC,11.5,-145,125
610,2023,SF,10.5,-150,130
611,2023,BAL,10.5,104,-130
612,2023,BUF,10.5,-128,102
613,2023,PHI,11.5,110,-130
614,2023,CLE,9.5,125,-145
615,2023,DAL,9.5,-170,145
616,2023,DET,9.5,-135,115
617,2023,LAC,9.5,-130,110
618,2023,JAX,10,-110,-110
619,2023,MIA,9.5,-110,-110
620,2023,NO,9.5,120,-140
621,2023,NYJ,9.5,-135,115
622,2023,ATL,8.5,-130,110
623,2023,DEN,8.5,-115,-105
